animal_id,name,breed,raw_breed,color,secondary_color,sex,is_puppy,intake_date,days_waiting,intake_reason,health,date_of_birth
7950,Pancho,Cairn Terrier,Cairn Terrier,White,Black,Male,0,2025-05-23,448,Stray,,
8438,Fritz,American Pit Bull Terrier,American Pit Bull Terrier,Brown,White,Male,0,2025-05-28,443,ACO - Impound,,2024-06-30
8711,Emmitt,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,White,Male,0,2025-06-01,439,ACO - Impound,,2023-06-01
9035,Walter,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2025-06-05,435,Stray,Sick,2020-06-06
9472,Whitley,American Staffordshire Terrier,American Staffordshire Terrier,Black,White,Female,0,2025-06-10,430,Stray,,2023-12-10
9673,Paxton,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Male,0,2025-06-12,428,ACO - Impound,,2017-06-12
9712,Hank,American Staffordshire Terrier,American Staffordshire Terrier,Fawn,Fawn,Male,0,2025-06-12,428,Ambulance,,2023-06-12
11056,Marshall,Boxer,Boxer,Black Brindle,White,Male,0,2025-06-27,413,Stray,,2018-07-01
11399,,German Shepherd,German Shepherd,Brown,,Unknown,0,2025-07-02,408,ACO - Impound,,2025-04-02
11400,Mariah,American Pit Bull Terrier,American Pit Bull Terrier,Brown,,Female,0,2025-07-02,408,ACO - Impound,,2024-01-03
11454,Broccoli,German Shepherd,German Shepherd,Black,Brown,Male,0,2025-07-03,407,Stray,,2024-09-03
11468,Xena,Boxer,Boxer,Black,Brown,Female,0,2025-07-03,407,ACO - Impound,,2023-07-04
11791,Beef,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2025-07-10,400,ACO - Impound,,2024-07-10
8211,Sweet Pea,American Pit Bull Terrier,American Pit Bull Terrier,Blue,White,Female,0,2025-07-11,399,Stray,,2019-05-28
12430,Mae,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,Black Brindle,Female,0,2025-07-21,389,ACO - Impound,,2023-07-21
12660,Draco,American Pit Bull Terrier,American Pit Bull Terrier,White,,Male,0,2025-07-23,387,ACO - Impound,,
12883,Rocko,American Pit Bull Terrier,American Pit Bull Terrier,Brindle,Brown Brindle,Male,0,2025-07-28,382,ACO - Impound,,2023-01-28
13097,Cornelia,Siberian Husky,Siberian Husky,Black,White,Female,0,2025-08-01,378,Owner Surrender,Normal,2024-10-01
14243,Brooklyn,German Shepherd,German Shepherd,Brown,Black,Female,0,2025-08-24,355,ACO - Impound,,2024-08-25
13529,Tiger,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,White,Male,0,2025-08-27,352,Stray,,2024-08-08
13892,Bear,American Pit Bull Terrier,American Pit Bull Terrier,Brown,White,Male,0,2025-09-03,345,Stray,,2024-08-15
13891,Teddy,American Pit Bull Terrier,American Pit Bull Terrier,Black Brindle,Brown,Male,0,2025-09-03,345,Stray,,2024-08-15
15198,Ginger,American Pit Bull Terrier,American Pit Bull Terrier,Tan,,Female,0,2025-09-09,339,ACO - Impound,,2024-09-09
15212,Loki,American Pit Bull Terrier,American Pit Bull Terrier,White,Brown,Male,0,2025-09-10,338,ACO - Impound,,2024-09-10
15268,Abner,American Pit Bull Terrier,American Pit Bull Terrier,Black Brindle,White,Male,0,2025-09-11,337,Stray,,2024-09-11
15483,Chewy,Catahoula Leopard Dog,Catahoula Leopard Dog,Blue Merle,White,Male,0,2025-09-16,332,ACO - Impound,,2023-09-16
15507,Dom,German Shepherd,German Shepherd,Black Brown,Tan Points,Male,0,2025-09-16,332,Stray,,2023-09-16
15685,Nova,German Shepherd,German Shepherd,Tan,,Female,0,2025-09-19,329,Owner Surrender,,2020-09-19
15899,Hendrix,American Pit Bull Terrier,American Pit Bull Terrier,Brown,White,Male,0,2025-09-24,324,ACO - Impound,,2023-09-25
15979,Canela,Rottweiler,Rottweiler,Black,Brown,Female,0,2025-09-26,322,Agency,,2021-10-27
16093,Candy Corn,German Shepherd,German Shepherd,Brown Brindle,White,Male,0,2025-09-29,319,Stray,,2021-09-29
15234,Oscar,Great Pyrenees,Great Pyrenees,Brown,White,Male,0,2025-10-02,316,ACO - Impound,,2020-03-23
16311,Marcelle,American Pit Bull Terrier,American Pit Bull Terrier,Blue,White,Male,0,2025-10-04,314,Stray,,2023-10-04
16543,Ash,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,White,Male,0,2025-10-09,309,Stray,,2023-10-09
16667,Ink,German Shepherd,German Shepherd,Black,,Male,0,2025-10-12,306,ACO - Impound,,2023-10-12
16670,Chiquis,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Female,0,2025-10-12,306,ACO - Impound,,2024-10-15
16850,Lil Baby Lou,American Staffordshire Terrier,American Staffordshire Terrier,Blue,White,Male,0,2025-10-15,303,ACO - Impound,,2024-05-28
17389,Angel,American Pit Bull Terrier,American Pit Bull Terrier,Blue Brindle,,Female,0,2025-10-27,291,ACO - Impound,,2014-10-27
15889,Mama Eden,Boxer,Boxer,White,Tan,Female,0,2025-10-28,290,Stray,,2023-10-28
17532,Xanti,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,,Male,0,2025-10-30,288,Stray,,2023-10-30
17617,Lady,Boxer,Boxer,Red,White,Female,0,2025-11-01,286,ACO - Impound,Sick,2025-01-01
17715,Onyx,American Staffordshire Terrier,American Staffordshire Terrier,Black,White,Female,0,2025-11-04,283,Stray,Sick,2024-11-04
14761,Sheba,Labrador Retriever,Labrador Retriever,Tan,,Female,0,2025-11-05,282,Stray,,2024-09-02
17836,Cheddar,American Pit Bull Terrier,American Pit Bull Terrier,Brown,,Female,0,2025-11-06,281,Stray,,2024-11-04
17890,Ramon,Shepherd,Shepherd,White,Cream,Male,0,2025-11-07,280,ACO - Impound,Normal,2025-01-08
17891,Caleb,American Pit Bull Terrier,American Pit Bull Terrier,White,Brown,Male,0,2025-11-07,280,ACO - Impound,,2021-11-11
18011,Nacho,Labrador Retriever,Labrador Retriever,Blue,,Male,0,2025-11-11,276,ACO - Impound,,2025-01-12
18063,Oracle,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2025-11-13,274,Owner Surrender,,2023-06-13
18078,Casius,American Pit Bull Terrier,American Pit Bull Terrier,Black,,Male,0,2025-11-13,274,Owner Surrender,,2024-11-13
18130,Legacy,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Female,0,2025-11-14,273,ACO - Impound,,2024-11-15
18163,Kugel,Labrador Retriever,Labrador Retriever,Black,,Male,0,2025-11-16,271,ACO - Impound,Injured,2024-06-16
18224,Princess Peach,Black Mouth Cur,Black Mouth Cur,Tan,Black,Female,0,2025-11-17,270,ACO - Impound,,2021-11-17
18257,Puma,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2025-11-18,269,ACO - Impound,,2024-11-18
18333,Latke,American Pit Bull Terrier,American Pit Bull Terrier,White,Brown,Male,0,2025-11-20,267,Stray,,2022-11-21
18365,Pooh,Pointer,Pointer,White,Brown,Male,0,2025-11-21,266,Owner Surrender,,2023-04-21
18448,Muppet Baby,American Pit Bull Terrier,American Pit Bull Terrier,Black,,Male,0,2025-11-23,264,ACO - Impound,,2023-11-23
18537,Elf,Mountain Cur,Mountain Cur,Brown Brindle,Black,Male,0,2025-11-24,263,Stray,,2024-11-24
18571,Teepee,American Pit Bull Terrier,American Pit Bull Terrier,Black Brindle,White,Male,0,2025-11-25,262,Stray,,2025-01-25
18600,Princess,American Pit Bull Terrier,American Pit Bull Terrier,White,Blue Merle,Female,0,2025-11-25,262,ACO - Impound,,2023-11-25
18936,Lando,Labrador Retriever,Labrador Retriever,Brown Brindle,Black,Male,0,2025-12-05,252,Stray,,2024-12-05
18985,Noelia,Australian Cattle Dog,Australian Cattle Dog,Brown Brindle,White,Female,0,2025-12-06,251,Stray,,2024-01-28
19138,Aiden,American Staffordshire Terrier,American Staffordshire Terrier,Tan,White,Male,0,2025-12-10,247,Stray,,2024-12-10
19370,Kitty,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Female,0,2025-12-15,243,ACO - Impound,,2024-06-15
19780,Ottie Pop,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2025-12-28,229,ACO - Impound,,2023-10-02
19440,Lucius,American Pit Bull Terrier,American Pit Bull Terrier,Fawn,White,Male,0,2025-12-29,228,ACO - Impound,,2020-12-30
19954,Darnell,Bull Terrier,Bull Terrier,Black Brindle,,Male,0,2026-01-03,223,ACO - Impound,,2024-01-03
20002,Beau,American Staffordshire Terrier,American Staffordshire Terrier,Brown,,Male,0,2026-01-03,223,ACO - Impound,,2014-01-04
20137,Mama Blythe,American Staffordshire Terrier,American Staffordshire Terrier,White,Brown,Female,0,2026-01-07,219,Owner Surrender,,2023-01-07
20217,Toby,American Pit Bull Terrier,American Pit Bull Terrier,Red,Black,Male,0,2026-01-08,218,Owner Surrender,,2024-08-08
20350,Rosco,Black Mouth Cur,Black Mouth Cur,Tan,Black,Male,0,2026-01-13,213,Owner Surrender,,2020-06-29
20400,Nightwing,Labrador Retriever,Labrador Retriever,Black,White,Male,0,2026-01-14,212,Owner Surrender,,2022-03-14
20424,Mr. Wendell,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Male,0,2026-01-15,211,ACO - Impound,Injured,2024-01-15
20435,Bandit,American Bulldog,American Bulldog,White,Brown,Male,0,2026-01-15,211,Owner Surrender,,2019-01-15
20473,Courage,Boxer,Boxer,Brown,White,Male,0,2026-01-16,210,Owner Surrender,,2022-01-19
20514,Daisy,American Pit Bull Terrier,American Pit Bull Terrier,White,,Female,0,2026-01-17,209,ACO - Impound,,2025-01-20
20535,Emmylou,Labrador Retriever,Labrador Retriever,White,Tan,Female,0,2026-01-18,208,ACO - Impound,Injured,2024-01-18
18656,Daedae,American Pit Bull Terrier,American Pit Bull Terrier,Brown,White,Male,0,2026-01-22,204,ACO - Impound,,2021-01-01
20693,Ivy,Black Mouth Cur,Black Mouth Cur,Tan,Black,Female,0,2026-01-22,204,Owner Surrender,,2021-07-22
20726,Vittorio,American Staffordshire Terrier,American Staffordshire Terrier,Brown,White,Male,0,2026-01-23,203,ACO - Impound,Normal,2024-01-23
20746,Kya,Australian Shepherd,Australian Shepherd,Tri Color,,Female,0,2026-01-23,203,Owner Surrender,,2018-01-23
20780,Cheyenne,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Female,0,2026-01-26,201,ACO - Impound,,2025-05-27
20783,Babushka,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,Black,Female,0,2026-01-26,201,ACO - Impound,,2025-01-28
20797,Baby Acorn,Labrador Retriever,Labrador Retriever,Tan,White,Female,0,2026-01-26,201,ACO - Impound,,2025-10-20
20124,Ponyboy,German Shepherd,German Shepherd,Black,,Male,0,2026-01-26,200,ACO - Impound,,2013-08-15
20833,Jagger,Australian Kelpie,Australian Kelpie,Black,,Male,0,2026-01-27,199,Stray,Normal,2025-01-27
20955,Unknown,Chihuahua,Chihuahua - Long-hair,Red,Rust,Female,0,2026-01-31,196,ACO - Impound,,2024-01-31
20951,Bolt,Labrador Retriever,Labrador Retriever,Black,,Male,0,2026-01-31,195,ACO - Impound,Injured,2022-01-31
20967,Beefy,American Pit Bull Terrier,American Pit Bull Terrier,White,Black,Male,0,2026-01-31,195,ACO - Impound,Normal,2020-01-31
20926,Dante,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,,Male,0,2026-01-31,195,ACO - Impound,,2025-01-31
20963,Beast,American Pit Bull Terrier,American Pit Bull Terrier,Brindle,,Male,0,2026-01-31,195,ACO - Impound,,2022-02-01
21064,Anri,American Pit Bull Terrier,American Pit Bull Terrier,White,,Female,0,2026-02-03,192,ACO - Impound,Normal,2022-02-03
21088,Bentley,Labrador Retriever,Labrador Retriever,Tan,,Male,0,2026-02-03,192,ACO - Impound,,2020-08-17
21086,Pistachio,Labrador Retriever,Labrador Retriever,White,,Male,0,2026-02-03,192,ACO - Impound,,2025-02-03
